DimCustomer;;;;;DimStore;;;DimProduct;;;;FactSales;;;;;;;;;;;;;
FirstName;LastName;Email;ContactNumber;LoyaltyMember;City;Province;Store;ProductName;ProductID;Category;Supplier;SaleID;OrderDate;CustomerID;UnitPrice;Quantity;DiscountPercent;TotalAmount;PaymentMethod;PaymentStatus;SalesChannel;SalesPerson;StockLevel;Promotion;OrderStatus
Noah;Taylor;noah.taylor90@gmail.com;27765472030;No;Johannesburg;Gauteng;Urban Basket Johannesburg;Juice;P930;Beverages;Fresh Foods SA;S000001;2025/12/13;C5012;37.04;4;0;148.16;Card;Paid;In-Store;Employee 055;15;;Completed
Olivia;Baker;olivia.baker923@gmail.com;27617360650;No;Pretoria;Gauteng;Urban Basket Pretoria;Detergent;P888;Household;Urban Supply Co;S000002;2025/05/23;C4257;57.06;7;10;359.48;Card;Paid;In-Store;Employee 021;174;Buy 2 Get 1;Completed
Isabella;Clark;isabella.clark341@gmail.com;27721870765;Yes;Pretoria;Gauteng;Urban Basket Pretoria;Milk;P622;Dairy;Urban Supply Co;S000003;2025/06/26;C2519;26.44;7;20;148.06;EFT;Paid;Online;Employee 006;274;;Completed
Ava;Jones;ava.jones346@gmail.com;27826600174;No;Johannesburg;Gauteng;Urban Basket Johannesburg;Paper Towels;P885;Household;Fresh Foods SA;S000004;2025/12/05;C6925;176.88;4;0;707.52;Cash;Paid;In-Store;Employee 038;437;Winter Special;Completed
Hannah;Wilson;hannah.wilson168@gmail.com;27608319493;No;Polokwane;Limpopo;Urban Basket Polokwane;Butter;P178;Dairy;National Distribution;S000005;2025/12/10;C6977;94.12;3;0;282.36;EFT;Paid;In-Store;Employee 010;325;Winter Special;Completed
Tyler;Williams;tyler.williams900@gmail.com;27742172340;No;Pretoria;Gauteng;Urban Basket Pretoria;Cake;P950;Bakery;Fresh Foods SA;S000006;2025/12/19;C7216;247.41;5;15;1051.49;Cash;Paid;Online;Employee 042;117;;Completed
Liam;Thomas;liam.thomas750@gmail.com;27782711892;No;Polokwane;Limpopo;Urban Basket Polokwane;Milk;P622;Dairy;Green Farms;S000007;2025/07/22;C4456;55.13;6;5;314.24;Mobile Pay;Refunded;In-Store;Employee 019;71;Winter Special;Returned
Kayla;Johnson;kayla.johnson95@gmail.com;27643118118;No;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Toilet Paper;P288;Household;Fresh Foods SA;S000008;2025/09/18;C7543;56.78;6;0;340.68;Mobile Pay;Paid;In-Store;Employee 012;440;;Completed
Jessica;Naidoo;jessica.naidoo22@gmail.com;27718224899;No;Durban;KwaZulu-Natal;Urban Basket Durban;Apples;P207;Produce;Fresh Foods SA;S000009;2025/09/28;C7304;149.98;7;5;997.37;EFT;Paid;Online;Employee 071;348;;Completed
Zoe;White;zoe.white272@gmail.com;27791616450;Yes;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Milk;P622;Dairy;Fresh Foods SA;S000010;2025/05/15;C5808;41.64;7;0;291.48;Cash;Paid;Online;Employee 065;445;Buy 2 Get 1;Completed
Tyler;Anderson;tyler.anderson352@gmail.com;27819102745;No;Pretoria;Gauteng;Urban Basket Pretoria;Croissant;P937;Bakery;Green Farms;S000011;2025/01/10;C3646;150.74;1;5;143.2;Card;Paid;Online;Employee 047;122;;Completed
Mia;Baker;mia.baker624@gmail.com;27816289238;Yes;Johannesburg;Gauteng;Urban Basket Johannesburg;Water;P667;Beverages;National Distribution;S000012;2025/10/09;C2133;34.28;3;5;97.7;Cash;Paid;Online;Employee 034;446;Loyalty Discount;Completed
Liam;Martin;liam.martin915@gmail.com;27818287799;No;Pretoria;Gauteng;Urban Basket Pretoria;Dish Soap;P978;Household;Urban Supply Co;S000013;2025/07/11;C6107;248.8;7;15;1480.36;Mobile Pay;Paid;Online;Employee 067;61;Winter Special;Completed
Megan;Clark;megan.clark654@gmail.com;27799734369;No;Johannesburg;Gauteng;Urban Basket Johannesburg;Milk;P622;Dairy;Fresh Foods SA;S000014;2025/11/20;C4770;4.28;4;15;14.55;Card;Paid;Online;Employee 030;463;;Completed
Megan;Jackson;megan.jackson384@gmail.com;27811534208;Yes;Johannesburg;Gauteng;Urban Basket Johannesburg;Dish Soap;P978;Household;Urban Supply Co;S000015;2025/10/20;C5562;55.52;8;0;444.16;Mobile Pay;Paid;In-Store;Employee 032;413;Weekend Saver;Completed
Matthew;Green;matthew.green661@gmail.com;27652385961;Yes;Johannesburg;Gauteng;Urban Basket Johannesburg;Water;P667;Beverages;Urban Supply Co;S000016;2025/01/28;C6804;104.25;7;20;583.8;Card;Paid;In-Store;Employee 008;372;Buy 2 Get 1;Completed
Jordan;White;jordan.white674@gmail.com;27683854255;Yes;Pretoria;Gauteng;Urban Basket Pretoria;Muffins;P914;Bakery;Fresh Foods SA;S000017;2025/05/23;C9786;37.2;8;0;297.6;Mobile Pay;Paid;In-Store;Employee 032;226;Loyalty Discount;Completed
Michael;Thomas;michael.thomas568@gmail.com;27742229615;Yes;Cape Town;Western Cape;Urban Basket Cape Town;Detergent;P888;Household;Fresh Foods SA;S000018;2025/09/04;C2528;43.66;4;5;165.91;Cash;Paid;In-Store;Employee 052;84;Weekend Saver;Completed
Ryan;Thompson;ryan.thompson397@gmail.com;27836638924;No;Polokwane;Limpopo;Urban Basket Polokwane;Butter;P178;Dairy;Cape Wholesale;S000019;2025/10/12;C5673;174.91;7;15;1040.71;Mobile Pay;Paid;In-Store;Employee 020;151;Winter Special;Completed
Liam;Davis;liam.davis601@gmail.com;27627098775;No;Cape Town;Western Cape;Urban Basket Cape Town;Milk;P622;Dairy;National Distribution;S000020;2025/09/29;C1821;126.96;8;20;812.54;Cash;Paid;In-Store;Employee 008;41;Winter Special;Completed
Liam;Botha;liam.botha361@gmail.com;27677806832;No;Johannesburg;Gauteng;Urban Basket Johannesburg;Cake;P950;Bakery;National Distribution;S000021;2025/11/14;C2964;145.78;4;0;583.12;Card;Paid;In-Store;Employee 054;289;Loyalty Discount;Completed
Isabella;Harris;isabella.harris742@gmail.com;27615826843;No;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Croissant;P937;Bakery;Green Farms;S000022;2025/11/27;C4910;100.46;5;15;426.95;EFT;Paid;Online;Employee 059;475;;Completed
Joshua;Green;joshua.green646@gmail.com;27679117009;No;Mbombela;Mpumalanga;Urban Basket Mbombela;Detergent;P888;Household;Green Farms;S000023;2025/06/28;C2200;127.71;4;0;510.84;Card;Paid;Online;Employee 032;145;Winter Special;Completed
Ava;Jones;ava.jones550@gmail.com;27787351688;No;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Detergent;P888;Household;National Distribution;S000024;2025/05/16;C5905;234.89;2;0;469.78;Card;Paid;In-Store;Employee 014;79;Buy 2 Get 1;Completed
Tyler;Thompson;tyler.thompson46@gmail.com;27603260354;No;Pretoria;Gauteng;Urban Basket Pretoria;Cheese;P874;Dairy;Green Farms;S000025;2025/01/27;C5325;64.65;8;20;413.76;Card;Paid;In-Store;Employee 055;22;;Completed
Nathan;Davis;nathan.davis22@gmail.com;27686906377;No;Durban;KwaZulu-Natal;Urban Basket Durban;Cheese;P874;Dairy;Fresh Foods SA;S000026;2025/02/08;C8239;141.32;7;0;989.24;Cash;Paid;In-Store;Employee 070;427;Buy 2 Get 1;Completed
Megan;Taylor;megan.taylor978@gmail.com;27768052425;Yes;Durban;KwaZulu-Natal;Urban Basket Durban;Bananas;P701;Produce;Cape Wholesale;S000027;2025/01/21;C1685;92.75;5;20;371.0;EFT;Paid;Online;Employee 027;341;;Completed
Liam;Brown;liam.brown633@gmail.com;27629561753;No;Polokwane;Limpopo;Urban Basket Polokwane;Dish Soap;P978;Household;Cape Wholesale;S000028;2025/04/01;C4878;244.11;3;20;585.86;Mobile Pay;Paid;In-Store;Employee 004;377;Buy 2 Get 1;Completed
Sarah;King;sarah.king91@gmail.com;27628267895;Yes;Pretoria;Gauteng;Urban Basket Pretoria;Cheese;P874;Dairy;Urban Supply Co;S000029;2025/08/29;C2771;218.36;7;20;1222.82;Cash;Paid;In-Store;Employee 026;179;Buy 2 Get 1;Completed
Kayla;Smith;kayla.smith815@gmail.com;27827332708;No;Pretoria;Gauteng;Urban Basket Pretoria;Tea;P519;Beverages;Urban Supply Co;S000030;2025/05/23;C7528;71.45;6;0;428.7;EFT;Paid;In-Store;Employee 066;347;Loyalty Discount;Completed
Emma;Clark;emma.clark711@gmail.com;27741488835;No;Cape Town;Western Cape;Urban Basket Cape Town;Juice;P930;Beverages;Urban Supply Co;S000031;2025/08/11;C3925;11.97;5;10;53.87;EFT;Paid;In-Store;Employee 041;310;Loyalty Discount;Completed
Michael;Taylor;michael.taylor979@gmail.com;27791554170;No;Polokwane;Limpopo;Urban Basket Polokwane;Dish Soap;P978;Household;Urban Supply Co;S000032;2025/09/24;C5173;177.92;1;0;177.92;Cash;Paid;In-Store;Employee 047;35;Buy 2 Get 1;Completed
Tyler;Clark;tyler.clark343@gmail.com;27766844628;No;Bloemfontein;Free State;Urban Basket Bloemfontein;Juice;P930;Beverages;Cape Wholesale;S000033;2025/07/26;C9308;167.56;5;0;837.8;EFT;Paid;In-Store;Employee 071;98;Weekend Saver;Completed
Liam;Roberts;liam.roberts652@gmail.com;27658030288;Yes;Polokwane;Limpopo;Urban Basket Polokwane;Croissant;P937;Bakery;Urban Supply Co;S000034;2025/08/09;C7653;77.71;1;0;77.71;EFT;Paid;In-Store;Employee 060;226;Winter Special;Completed
